,Author,Title,State,District,Description,DateBan
17,"Frank, E. R.",Dime,Florida,Hernando County Schools,"Still in Process, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections",2024-2-01
18,"Andrews, Jesse",The Haters,Florida,Hernando County Schools,"Still in Process, Panel says REMOVE needs to go to board, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections",2024-2-01
19,"Arnold, Elana K.",Damsel,Florida,Hernando County Schools,"Still in Process, COMMITTEE recommends remove, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-2-01
20,"Walden, Tillie",Spinning,Florida,Hernando County Schools,"Still in Process, Committee recommends KEEP HS, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-2-01
21,"Maas, Sarah J.",Tower of Dawn,Florida,Hernando County Schools,"Throne of Glass, Still in Process, Committee Recommends: HS Keep; MS Limit to grade 8, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-2-01
22,"Blume, Judy",Forever…,Florida,Hernando County Schools,"Still in Process, Committee Recommends KEEP, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-2-01
23,"Picoult, Jodi",Nineteen Minutes,Florida,Hernando County Schools,"Still in Process, Committee recommends KEEP, https://www.hernandoschools.org/departments/curriculum/public-notice-of-book-objections, https://www.suncoastnews.com/news/hernando-school-board-to-consider-24-books-at-may-7-meeting/article_079ddca6-f907-11ee-a90c-af1e298e352e.html",2024-2-01
24,"Smith, Cynthia Leitich",Tantalize,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
25,"Clayton, Dhonielle",The Belles,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
26,"Lee, Victoria",The Fever King,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
27,"Larsson, Stieg",The Girl with the Dragon Tattoo,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
28,"Grossman, Lev",The Magician King,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
29,"Grossman, Lev",The Magicians,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
30,"Dimaline, Cherie",The Marrow Thieves,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
31,"Nijkamp, Marieke",This Is Where It Ends,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
32,"Glines, Abbi",Under the Lights,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
33,"Hartzler, Aaron",What We Saw,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
34,"King, Stephen",Wizard and Glass,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
35,"Walker, Alice",The Color Purple,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
36,"Acevedo, Elizabeth",With the Fire on High,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
37,"Medina, Meg",Yaqui Delgado Wants to Kick Your Ass,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
38,"Cormier, Robert",Beyond the Chocolate War,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
39,"Hutchinson, Shaun David",Brave Face: A Memoir,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
40,"Oseman, Alice",Loveless,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
41,"Cremer, Andrea",Rise,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
42,"Poehler, Amy",Yes Please,Florida,Clay County District Schools,"Banned/Removed, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
43,"Flom, Jason",Lulu is a Rhinoceros,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-10-01
44,"Myers, Bill",My Life as a Smashed Burrito With Extra Hot Sauce,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-10-01
45,"McAnulty, Stacy",The Miscalculations of Lightning Girl,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-10-01
46,"Wertherim, L. Jon",The Rookie Bookie,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-10-01
47,"Pascal, Francine",Kill Game,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
48,"Kelly, Erin Entrada",Hello Universe,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
49,"Sendak, Maurice",In the Night Kitchen,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
50,"Yang, Kelly",Room to Dream,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
51,"Yang, Kelly",Three Keys,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
52,"Dasgupta, Sayantani",Debating Darcy,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
53,"Kapit, Sarah","Get a Grip, Vivy Cohen",Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
54,"Munsch, Robert",Pigs,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
55,"Spinelli, Jerry",Stargirl,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
56,"Applegate, Katherine",The One and Only Ivan,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
57,"Dee, Barbara",Violets are Blue,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
58,"Underwood, Deborah",Ogilvy,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
59,"Wrede, Patricia C.",Dealing with Dragons,Florida,Clay County District Schools,"Retained, No violation of Florida Statute, Remain in Collection, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
60,"King, Stephen",The Running Man,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
61,"Vonnegut, Kurt",Cat's Cradle,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
62,"Shepard, Sara",Flawless,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
63,"Terciero, Rey","Meg, Jo, Beth, and Amy: A Modern Graphic Retelling of Little Women",Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
64,"Kerouac, Jack",On the Road,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
65,"Shepard, Sara",Seven Minutes in Heaven,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
66,"Tahir, Sabaa",All My Rage,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
67,"Cremer, Andrea",Snakeroot,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
68,"Ukazu, Ngozi",Sticks & Scones,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
69,"von Ziegesar, Cecily",You're the One That I Want,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
70,"Westerfeld, Scott",Afterworlds,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
71,"Anaya, Rudolfo","Bless Me, Ultima",Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
72,"Meyer, Stephanie",Breaking Dawn,Florida,Clay County District Schools,"Twlight, Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
73,"Han, Jenny",It's Not Summer Without You,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
74,"Forman, Gayle",Just One Day,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
75,"Forman, Gayle",Just One Year,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
76,"Green, John",Paper Towns,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
77,"Mead, Richelle",The Golden Lily,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
78,"Johnson, Alaya Dawn",The Summer Prince,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
79,"Erickson-Schroth, Laura",You're in the Wrong Bathroom!: And 20 Other Myths and Misconceptions About Transgender and Gender-Nonconforming People,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: HS Only"", Restricted to HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
80,"Dee, Barbara",Star-Crossed,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
81,"Jensen, Kelly",(Don't) Call Me Crazy: 33 Voices Start the Conversation,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
82,"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
83,"Anderson, Laurie Halse",Chains,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-11-01
84,"Blake, Ashley Herring",La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
85,"Smith, Betty",A Tree Grows in Brooklyn,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
86,"van Otterloo, Ash",Cattywampus,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
87,"Feder, Tyler",Dancing at the Pity Party,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
88,"de la Peña, Matt",Mexican Whiteboy,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
89,"Braden, Ann",The Benefits of Being an Octopus,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
90,"Kagawa, Julie",The Iron Queen,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
91,"Han, Jenny",The Summer I Turned Pretty,Florida,Clay County District Schools,"Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
92,"Han, Jenny",To All the Boys I've Loved Before,Florida,Clay County District Schools,"To All the Boys I've Loved Before, Retained/Restricted, ""No violation of Florida Statute, Remain in Collection
Keep: JH & HS Only"", Restricted to MS and HS, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2024-1-01
93,"O'Connor, Flannery",A Good Man is Hard to Find And Other Stories,Florida,Clay County District Schools,"No Action, https://docs.google.com/spreadsheets/d/1iP1nVObzc_x1LgOUTEwf7w_t9Q7j4zRXan_mTL_6k0I/edit?usp=sharing",2023-12-01
